G,0.851749629,agangsta,"A gangsta is usually someone who has money but made it illegal and if they do n't have money they are trying to make it illegal but not everyone who extorts , steals , sells drugs , guns , or women is a gangsta some gangstas do work or own businesses in order to launder money a gangsta will hurt or kill you about money mainly , and generally does n't start trouble , that 's a thug , but a gangsta will finish something you start and come out on top a gangsta will also get money out of women , not nessicerly pimp a woman , but get money for support or protection which that always does n't include women , a gangsta knows how to usually extort a gangsta will always have a gun near or on him they usually have an arrest record it just comes along with the life style a gangsta has gangsta brothers and sisters who will hurt you if a situation is out of their control most gangstas are in prison some are reformed others are dead a gangsta is a gladiator who can over come any obstacle with their mind , body , or soul there is an initiation in order to become a gangsta after close watch of a persons ' behavior , intended to secure discrete , make sure your not a narc , afraid , and that you can stand on your own , everyone ca n't be a gangsta , race or nationality has nothing to do with it generally , you can be born a gangsta if your father is a high enough rank among st the organization ",n
G,0.807199059,alza,"Alma is a word used to describe something crazy . its main use is to describe anything crazy relating to drugs , since the word is named after the drug Alma . ",d
G,0.809803882,anarchy,"Anarchism is possibly the most misunderstood political philosophy ever . ; ; anarchy can work , and has worked , but right now probably would n't work with the state the world is in right now ( drugs , gangs , civil wars , etc. ) ; ; anarchy is not chaos , as laws are necessary anyway , even when there is a government to enforce them . As Amman tenancy said , 'oh , judge , your damn laws , the good people do n't need them and the bad people do n't follow them , so what good are they ? ' like I said before , if anarchy were to happen right now chaos would probably ensue , but this largely due to how fucked up our governments have let the world become . ; ; government is an unnecessary evil . The idea that people should be bound by agreements their ancestors made is absurd . I believe I am better fit to run my own life that George bush is . ; ; if you ever see any dumb ass in an anarchy shirt from hot topic , scribbling it in textbooks at school , I want you to ask them to explain anarchy to you . Chances are they have no fucking clue as to what they 're talking about and will tell you that they want chaos so that they can blow things up and drink . Punch them in the face for me . ; ; anarchy would be a very bad idea to try right now . In times like this anarchism is better left as an ideal for people who do get it . it 's not something worth arguing about over the internet , because anarchy is not going to happen on a large enough scale to matter in anyone 's lifetime who is alive today , and if there was anarchy , there probably would n't be an internet for very long ; ) . ",n
G,0.863530865,anxiety,"A small word which can describe a large set of emotions , which usually can be [worry] , [worried] , [frightened] , [scared] , [paranoid] , feeling [persecuted ] right up to [schizophrenia] /[paranoid schizophrenia] . ; ; anxiety , within reason , is just a part of life ; everybody experiences at some point . It is connected to the [fight or flight ] syndrome that we , as have all animals , have deep within us , enabling us to survive . ; ; it can become a problem when anxiety takes over most of your feelings and therefore , your life . There are many medical definitions of this state of being , such as [generalized anxiety disorder] , [non-specific anxiety disorder] , [persecution complex ] and many more . If necessary , there are [medications ]/[drugs ] available to help alleviate the symptoms and sometimes tackle the cause of these anxiety states . ; ; if a diagnosis does not include one of the main [mental illnesses] , then it 's often likely people will be prescribed one brand from a group of [benzodiazepine ] drugs : the most well-known of these is probably Valium . These drugs are addictive , can cause nasty side effects and long term side effects and , if used for too long can actually make the original problem worse , with [paradoxical effects ] . The [withdrawal ] from this drug can result in some of the worst [withdrawal symptoms ] known , and can last for years . ; ; if prescribed a {benzodiazepine ] it should be for no longer than a two-week period what has become known as [talking cures ] are a safer , cheaper alternative and can actually do something to help the original problem , rather than just masking it . ; ; in some cases , such as [paranoid schizophrenia ] drugs , usually [anti psychotics ] , can be of great help and allow the sufferer to live a far more 'normal ' life . ; ; anxiety is just a state of mind , and , even when having a [panic attack ] and it feels as if you may die , emotions are not generally known to kill you . ",n
G,0.847971929,aye,"A word that Mexican want to be gangsters use after every sentence and sometimes to begin a sentence . It is used mostly when talking about drugs , gangs or something illegal . ",n
G,0.813221644,ayuko,"Smarmy little Korean who plays half-life : counter strike at net cafes all day and night . He subsists almost entirely on a diet of shrimp crackers and other shit with way too much salt or way too much sugar . He wears big , wrap around mirrored sunglasses and may drive a souped up Honda civic or something similar . There is no female variety . ",n
G,0.816968258,bkoolstayinschool,"An expression used by [wingers ] who worship that dickhead [vanilla ice] . However , the people who say this are being completely hypocritical because wingers are known for not completing school . Also , many wingers drop out of school in order to do [drugs ] which they think makes them more cool as if they were to finish high school . Also , the 'k ' used for the word 'pool ' should be spelled with a 'c ' and the 'k ' is obviously a reference to the [KKK] , something that would not like a bigger . This expression was first used by [vanilla ice ] in his [1992 ] movie 'cool as ice ' at the very end of the film , so that is obviously where the wingers get it from . ",n
G,0.819821871,bagripped,"Can be used interchangeably in a variety of circumstances , usually as a proclamation or exclamation of excitement at witnessing something of value or quality . ; ; may also be used when experiencing pain ( physical or emotional ) , anger , intoxication , or being under the influence of drugs . ",d
G,0.821119848,bat.,1)a flying mouse .2 ) something one may see when tripping out under the influence of drugs . ,d
G,0.807008215,beep-beep,What one says when one see someone odd and different . ; ; when you see someone on drugs on the street . ; ; when you see a person who is spaced out . ; ; when a family member or friend does something spastic . ; ; whenever you see anything odd and unusual . ,n
