C,'refe,"Slang word for [tenderize] , a volcanic rock-island off the coast of Africa . Mainly full of fat , balding , English chat families on holidays . Many planes have crashed off the coast due to the blinding reflection the sun has from all the [ Elizabeth duke ] sovereign jewelry worn by these English [gimp ] children . ; ; the hardcore native 'remains ' mostly live up north , but can occasionally be found selling crack cocaine to tourists in the south . ; ; the island is used by many Africans as a gateway to the UK, although due to the large number of English tourists already there , may have gotten confused and thought they were there already . ; ; there is only slightly less [aids ]in tenderize than Africa . ; ; -'remains can only count to seven ; ; -'remains stop growing aged 9 ; ; -'remains on average are 63 % more gay than regular [Spanish ] ",n
C,anoodle,"Word used by Australian junkies to describe a syringe they used to shoot up heroin , cocaine or meth-amphetamines with . ",d
C,alaine,"alien is normally a male , middle age ( 35-55 ) , and sort of smelly and has the nature and demeanor of a hobo , or sort of rapid , old , fat man . aliens are usually nice and friendly , especially to the children ( bow chick bow wow . ) and they keep to themselves , not normally having many friends . ; ; the main things to know about aliens is that they are usually friendly , and safe for the most part , but keep them away from special 'substances ' ( IE cocaine , heroine , PCP , etc. ) they sight and smell of such things will drive them insane , and the results of the interaction may leave you mentally , physically and emotionally scared . No joke , ; ; stay away from any shape or form of alien with anything like that , ; ; for your own good . ",n
C,allinmynasal,"Describes a method of narcotic investment . The method in particular is by insulating ( snorting , sniffing ) any substance to produce a desired high . insulating any substance produces a high almost immediately because the said substance is absorbed in the membrane at the back of the nose and mouth and is allowed to enter the blood stream on contact without the need for digestion . Cocaine , heroin , examine , ecstasy , any prescription drugs , such as Oxycontin , methamphetamine , etc... are all examples of substances that can be insulated . ; ; the phrase is used in a past tense form , to imply one has already insulated a substance and they are waiting to get high . ",d
C,atnw,"A highly addictive internet message board . ; ; see also : ; ; addiction , heroin , cocaine , nicotine . ",d
C,baggychaser,"An addict of usually one of two controlled substances ; methamphetamine or 'crack ' cocaine , known for not paying for his/her 'fix' , or desired dosage of said controlled substance . Usually , but not always synonymous with the [baggy ho] . ",d
C,basehead,A crack addict . This is because crack cocaine is a freebase form of cocaine hydro chloride . ,d
C,batteram,"The slang name for the b-100 , an armored vehicle with a battering ram mounted on the front , used by land swat ( special weapons and tactics ) teams in entering crack cocaine houses by crushing walls and doors . ",n
C,battywash,Jamaican crack dealers do this to female ( Dusty` s ) when they have no money but want some candy its consist of washing the ( batty )(ass hole ) with her tongue for crack cocaine ,n
C,belushi,A mixed injection of heroin and cocaine ,d
C,belushiball,"An injection of both heroin and cocaine , from which the comedian john Belushi died . Derivation of the term speed ball . ",d
C,berkscounty,"Pennsylvania ; ; berks county is full of parents that ca n't let go of their past and because of their affluence , decided to re-create it by recently switching back to two high schools . Unfortunately they did n't consider their children while making this decision and now the once wide variety of electives and extra circular activities have been cut in half . Berks has forgotten about their youth , their half ass excuse for a teen center and lack of anything to do for entertainment has lead to a widespread use of drugs . ox coin and cocaine are pretty popular . ; ; Peter is a club for elitists that ca n't afford to live in wyomissing . Peter is just a place to spend money . If you drive through here on a week night after 10 o'clock in anything less than a BMW, you 're almost guaranteed to get pulled over by at least two cops . ; ; ever since the industrialization of muhlenburg , the city has rendered itself a rather useless place (unless you 're trying to pay cheap rent ) . Even though local government has attempted to clean up the city , berks county considers muhlenburg a dirty place where crappy drugs and after hours liquor stores are found in abundance . unfortunately it 's doomed to stay this way unless the residents starts to care about the place they live . Litter covers more area in this city than the actual population . ; ; as bad as muhlenburg is , reading takes the cake . The roads are just as bad as the people , cracked out and filthy . Litter however does n't seem to be as big of a problem here but ... the people themselves are trash . It 's fair to assume most of the people in this city have lived under the power lines for a number of years . Reading has some nicer areas where it starts to border wyomissing and this is the area most reading kids like to pride themselves on ... but we all know reading sucks , it 's kutztown 's ugly sister . ; ; note : [racial profiling ] is common in all berks county . ; ; also note : it 's fair to assume that the youth population does at least 2 out of 4 listed below : ; ; - drinks and/or does drugs ; ; - listens to Dave Matthews ; ; - goes to private school ; ; - has Mexicans do their landscaping ; ; lately note : all hill girls are sluts ",n
C,bobo's,Crack cocaine rocks you get from drug dealers ,d
C,bombing,"Verb : ; ; the act of consuming [drugs ] wrapped in a [Rizal] . ; ; normally , cocaine , heroin or amphetamines but can also apply to any drug ingested using this method . ",d
C,boyboy,"Street slang for heroin , similar to that white girl for cocaine . ",d
C,brandy,"Code name for the drug [heroin] , especially between drug users and drug dealers when conducting a deal over the phone . ; ; nowadays , a dealer who sells heroin almost always sells crack cocaine too , and vice versa . And because dealers are so paranoid all the time about getting caught by the police , they do n't appreciate users blatantly asking them for drugs by their names heroin and crack . This is especially true when talking on the phone as they always believe the line to be tapped by the police . ; ; so from the colors/slang terms associated with the two drugs , i .e . [brown ] for heroin and white for crack ... ; ; brown has become brandy and ... ; ; white has become [whiskey] . ; ; genius ! ",d
C,breakbread,Cut large amount of crack cocaine into smaller amounts to sell . ,d
C,bromptoncocktail,"A wonderful intoxicating elixir . Containing alcohol , coke ( cocaine ) , and heroin . Was comely used in Britain in the early 20th century as pain deliver for dying patents . no ",d
C,butterbrain,"1.) ( n ) someone who uses drugs regularly and/or habitually , esp. hard drugs ( crack cocaine , heroin , methamphetamine , etc. ) ; ; 2.) ( n ) a [junkie] or drug addict . ; ; called a 'butter brain ' as the user 's brain has been melted down or fried through constant drug abuse . This shows itself through a lack of rational behavior , thought process , and severely limited intellect . ",d
C,ca,"Cocaine anonymous . ; ; a twelve-step fellowship / group in the tradition of [AA] . For those individuals addicted to cocaine ( [blow] , [crack] ) and their lives have become unmanageable . ",d
C,californiasnow,"n . Liquid crack cocaine . also , known as Compton crack , yellow snow , Cali snow and 'that shit ' . ",d
C,charley,Slang term for [cocaine ] - a white crystalline alkaloid derived from coca plants . Sometimes known as 'rich man 's [speed ] ' - strong euphoric/stimulant effects . ; ; some debate on the spelling and ambiguous meaning . ; ; Charley = heroin ; ; charlie = cocaine ,d
C,chemicalmasterbation,"To use/abuse or pleasure oneself with drugs . Usually referring to narcotics or rather hard drugs such as opiates ( heroin , morphine oxycodone , methadone , Demerol , act . ) or the stronger stimulants such as cocaine , methamphetime or other amphetamine like compounds . And also usually doing so in high excess/abuse . ",d
C,chenging,Yorkshire slang for being wasted on crack cocaine or heroin . Same definition as watching . ,d
C,chestbusters,"Procaine , a numbing agent related to Novocaine and cocaine , used as cocaine , but much cheaper , and legal to purchase . The procaine is cooked like as if you were using cocaine to cook crack , the end result is identical to crack in look and feel and smell , but when melted and injected because procaine and not cocaine was the end user can risk , and about 75 % of the time does , having a heart attack because of the ingredients in procaine . This is where the term chest busters is used . ",d
